"time"	"x1"	"x2"
"139"	13.8	-37.3092865748267	-10.5315694850828
"140"	13.9	-38.3502779193498	-6.6686959448367
"141"	14	-39.1220533244646	-2.7644318349273
"142"	14.1	-39.3295531684294	1.17357062221714
"143"	14.2	-39.1656498846446	5.09151249147505
"144"	14.3	-38.5959459767226	8.93162772750472
"145"	14.4	-37.8741828342459	12.733591473348
"146"	14.5	-36.6793812425963	16.4159976956249
"147"	14.6	-35.2030062045872	20.0043023968894
"148"	14.7	-33.1279996269814	23.2683851555063
"149"	14.8	-30.8626716179083	26.4101220552943
"150"	14.9	-28.1520033544699	29.187434339304
"151"	15	-25.2317350551233	31.7274584697709
"152"	15.1	-22.2323284199121	34.1785456615094
"153"	15.2	-18.7641637227823	36.0071966838239
"154"	15.3	-15.1539257275832	37.5327077199632
"155"	15.4	-11.340179192199	38.6273659780664
"156"	15.5	-7.46452133586006	39.3862618449661
"157"	15.6	-3.47982390660743	39.7252522208102
"158"	15.7	0.507237549941031	39.6744828081681
"159"	15.8	4.49376194908393	39.2059855319216
"160"	15.9	8.41230428084322	38.3763686669331
"161"	16	12.2802737390355	37.3087653884338
"162"	16.1	16.0624591551452	35.8100050349322
"163"	16.2	19.5621965888675	33.7943690609018
"164"	16.3	22.8705723447422	31.4493679202486
"165"	16.4	26.103367907651	28.9519034548802
"166"	16.5	29.0234377443302	26.1159610241937
"167"	16.6	31.8115199496123	23.1025362926914
"168"	16.7	34.1573089105592	19.7605588151019
"169"	16.8	36.123561808683	16.1653394958947
"170"	16.9	37.6103177568569	12.4769842213595
"171"	17	38.8280808265704	8.58223810679021
"172"	17.1	39.7843865075787	4.63140084219131
"173"	17.2	40.248340257642	0.612016368980737
"174"	17.3	40.218666830446	-3.37679921049366
"175"	17.4	39.8535355929423	-7.31591713711403
"176"	17.5	39.1149813243362	-11.1918666060786
"177"	17.6	38.1323008399606	-15.01102093183
"178"	17.7	36.6863896258804	-18.7539065959163
"179"	17.8	34.7505376780319	-22.1738438697581
"180"	17.9	32.529430918043	-25.4375765697688
"181"	18	30.0827928302854	-28.5197494437014
"182"	18.1	27.2527956431396	-31.2343731799089
"183"	18.2	24.134890275217	-33.65334751536
"184"	18.3	20.7844814636822	-35.7781010185397
"185"	18.4	17.2223505301376	-37.5232575698179
"186"	18.5	13.479626011451	-38.880643627969
"187"	18.6	9.72800949355696	-40.1183834557759
"188"	18.7	5.87597490290413	-40.86880347143
"189"	18.8	1.76920997742515	-41.076537400333
"190"	18.9	-2.32978155396628	-41.0178526596831
"191"	19	-6.42697794083745	-40.5438140848963
"192"	19.1	-10.5401922012441	-39.5703680154305
"193"	19.2	-14.5658890272525	-38.047489463603
"194"	19.3	-18.2816508158752	-36.1312601949816
"195"	19.4	-21.6763903360004	-33.5952346652851
"196"	19.5	-24.9928582033862	-31.103186527291
"197"	19.6	-28.0448387948962	-28.296049390923
"198"	19.7	-30.8683254352995	-25.2021773777192
"199"	19.8	-33.3974783022875	-21.8348901343155
"200"	19.9	-35.4821854878698	-18.2378928975819
"201"	20	-37.2482143759045	-14.4673816663616
